,X,Director,Category,Cast1,Cast2,Cast3,Duration,Rating
33,16,Joss Whedon,Action | Adventure | Sci-Fi | Thriller,Nathan Fillion,Gina Torres,Chiwetel Ejiofor,119 mins.,8
34,17,Rian Johnson,Crime | Drama | Mystery | Thriller,Joseph Gordon-Levitt,Lukas Haas,Emilie de Ravin,110 mins.,7.4
35,18,Julian Jarrold,Comedy | Drama | Music,Chiwetel Ejiofor,Joel Edgerton,Sarah-Jane Potts,107 mins.,7
36,27,Neil Marshall,Adventure | Horror,Shauna Macdonald,Natalie Mendoza,Alex Reid,99 mins.,7.2
37,28,James Mangold,Biography | Drama | Music | Romance,Joaquin Phoenix,Reese Witherspoon,Ginnifer Goodwin,136 mins.,7.9
38,33,Woody Allen,Drama | Romance | Thriller,Scarlett Johansson,Jonathan Rhys Meyers,Emily Mortimer,124 mins.,7.7
39,36,Lexi Alexander,Crime | Drama | Sport,Elijah Wood,Charlie Hunnam,Claire Forlani,109 mins.,7.5
40,37,Steven Spielberg,Drama | History | Thriller,Eric Bana,Daniel Craig,Marie-Josée Croze,164 mins.,7.6
41,38,Shane Black,Comedy | Crime | Mystery,Robert Downey Jr.,Val Kilmer,Michelle Monaghan,103 mins.,7.6
42,42,Ron Howard,Biography | Drama | Sport,Russell Crowe,Renée Zellweger,Craig Bierko,144 mins.,8
43,43,Lasse Hallström,Drama,Jennifer Lopez,Robert Redford,Morgan Freeman,108 mins.,7
44,48,Jim Jarmusch,Comedy | Drama | Mystery | Romance,Bill Murray,Jessica Lange,Sharon Stone,106 mins.,7.2
45,50,Tim Burton,Animation | Fantasy | Musical | Romance,Mike Johnson,Johnny Depp,Helena Bonham Carter,77 mins.,7.4
46,2,Christopher Nolan,Action | Adventure,Christian Bale,Michael Caine,Ken Watanabe,140 mins.,8.3
47,3,Joe Wright,Drama | Romance,Keira Knightley,Matthew Macfadyen,Brenda Blethyn,129 mins.,7.8
48,5,Peter Jackson,Action | Adventure | Drama | Romance,Naomi Watts,Jack Black,Adrien Brody,187 mins.,7.3
49,6,James McTeigue,Action | Drama | Thriller,Hugo Weaving,Natalie Portman,Rupert Graves,132 mins.,8.2
50,7,Frank Miller,Crime | Thriller,Robert Rodriguez,Mickey Rourke,Clive Owen,124 mins.,8.1
51,10,Ridley Scott,Action | Adventure | Drama | History | War,Orlando Bloom,Eva Green,Liam Neeson,144 mins.,7.2
52,11,Ang Lee,Drama | Romance,Jake Gyllenhaal,Heath Ledger,Michelle Williams,134 mins.,7.7
53,12,David Dobkin,Comedy | Romance,Owen Wilson,Vince Vaughn,Rachel McAdams,119 mins.,7
54,14,Judd Apatow,Comedy | Romance,Steve Carell,Catherine Keener,Paul Rudd,116 mins.,7.2
55,15,Joss Whedon,Action | Adventure | Sci-Fi | Thriller,Nathan Fillion,Gina Torres,Chiwetel Ejiofor,119 mins.,8
56,16,Rian Johnson,Crime | Drama | Mystery | Thriller,Joseph Gordon-Levitt,Lukas Haas,Emilie de Ravin,110 mins.,7.4
57,17,Julian Jarrold,Comedy | Drama | Music,Chiwetel Ejiofor,Joel Edgerton,Sarah-Jane Potts,107 mins.,7
58,26,Neil Marshall,Adventure | Horror,Shauna Macdonald,Natalie Mendoza,Alex Reid,99 mins.,7.2
59,27,James Mangold,Biography | Drama | Music | Romance,Joaquin Phoenix,Reese Witherspoon,Ginnifer Goodwin,136 mins.,7.9
60,32,Woody Allen,Drama | Romance | Thriller,Scarlett Johansson,Jonathan Rhys Meyers,Emily Mortimer,124 mins.,7.7
61,35,Lexi Alexander,Crime | Drama | Sport,Elijah Wood,Charlie Hunnam,Claire Forlani,109 mins.,7.5
62,36,Steven Spielberg,Drama | History | Thriller,Eric Bana,Daniel Craig,Marie-Josée Croze,164 mins.,7.6
63,37,Shane Black,Comedy | Crime | Mystery,Robert Downey Jr.,Val Kilmer,Michelle Monaghan,103 mins.,7.6
64,41,Ron Howard,Biography | Drama | Sport,Russell Crowe,Renée Zellweger,Craig Bierko,144 mins.,8
65,42,Lasse Hallström,Drama,Jennifer Lopez,Robert Redford,Morgan Freeman,108 mins.,7
66,47,Jim Jarmusch,Comedy | Drama | Mystery | Romance,Bill Murray,Jessica Lange,Sharon Stone,106 mins.,7.2
67,49,Tim Burton,Animation | Fantasy | Musical | Romance,Mike Johnson,Johnny Depp,Helena Bonham Carter,77 mins.,7.4
68,1,Christopher Nolan,Action | Adventure,Christian Bale,Michael Caine,Ken Watanabe,140 mins.,8.3
69,2,Joe Wright,Drama | Romance,Keira Knightley,Matthew Macfadyen,Brenda Blethyn,129 mins.,7.8
70,4,Peter Jackson,Action | Adventure | Drama | Romance,Naomi Watts,Jack Black,Adrien Brody,187 mins.,7.3
71,5,James McTeigue,Action | Drama | Thriller,Hugo Weaving,Natalie Portman,Rupert Graves,132 mins.,8.2
72,6,Frank Miller,Crime | Thriller,Robert Rodriguez,Mickey Rourke,Clive Owen,124 mins.,8.1
73,9,Ridley Scott,Action | Adventure | Drama | History | War,Orlando Bloom,Eva Green,Liam Neeson,144 mins.,7.2
74,10,Ang Lee,Drama | Romance,Jake Gyllenhaal,Heath Ledger,Michelle Williams,134 mins.,7.7
75,11,David Dobkin,Comedy | Romance,Owen Wilson,Vince Vaughn,Rachel McAdams,119 mins.,7
76,13,Judd Apatow,Comedy | Romance,Steve Carell,Catherine Keener,Paul Rudd,116 mins.,7.2
77,14,Joss Whedon,Action | Adventure | Sci-Fi | Thriller,Nathan Fillion,Gina Torres,Chiwetel Ejiofor,119 mins.,8
78,15,Rian Johnson,Crime | Drama | Mystery | Thriller,Joseph Gordon-Levitt,Lukas Haas,Emilie de Ravin,110 mins.,7.4
79,16,Julian Jarrold,Comedy | Drama | Music,Chiwetel Ejiofor,Joel Edgerton,Sarah-Jane Potts,107 mins.,7
80,25,Neil Marshall,Adventure | Horror,Shauna Macdonald,Natalie Mendoza,Alex Reid,99 mins.,7.2
81,26,James Mangold,Biography | Drama | Music | Romance,Joaquin Phoenix,Reese Witherspoon,Ginnifer Goodwin,136 mins.,7.9
82,31,Woody Allen,Drama | Romance | Thriller,Scarlett Johansson,Jonathan Rhys Meyers,Emily Mortimer,124 mins.,7.7
83,34,Lexi Alexander,Crime | Drama | Sport,Elijah Wood,Charlie Hunnam,Claire Forlani,109 mins.,7.5
84,35,Steven Spielberg,Drama | History | Thriller,Eric Bana,Daniel Craig,Marie-Josée Croze,164 mins.,7.6
85,36,Shane Black,Comedy | Crime | Mystery,Robert Downey Jr.,Val Kilmer,Michelle Monaghan,103 mins.,7.6
86,40,Ron Howard,Biography | Drama | Sport,Russell Crowe,Renée Zellweger,Craig Bierko,144 mins.,8
87,41,Lasse Hallström,Drama,Jennifer Lopez,Robert Redford,Morgan Freeman,108 mins.,7
88,46,Jim Jarmusch,Comedy | Drama | Mystery | Romance,Bill Murray,Jessica Lange,Sharon Stone,106 mins.,7.2
89,48,Tim Burton,Animation | Fantasy | Musical | Romance,Mike Johnson,Johnny Depp,Helena Bonham Carter,77 mins.,7.4
90,50,David Slade,Crime | Drama | Thriller,Patrick Wilson,Ellen Page,Sandra Oh,104 mins.,7.1
91,1,Joe Wright,Drama | Romance,Keira Knightley,Matthew Macfadyen,Brenda Blethyn,129 mins.,7.8
92,3,Peter Jackson,Action | Adventure | Drama | Romance,Naomi Watts,Jack Black,Adrien Brody,187 mins.,7.3
93,4,James McTeigue,Action | Drama | Thriller,Hugo Weaving,Natalie Portman,Rupert Graves,132 mins.,8.2
94,5,Frank Miller,Crime | Thriller,Robert Rodriguez,Mickey Rourke,Clive Owen,124 mins.,8.1
95,8,Ridley Scott,Action | Adventure | Drama | History | War,Orlando Bloom,Eva Green,Liam Neeson,144 mins.,7.2
96,9,Ang Lee,Drama | Romance,Jake Gyllenhaal,Heath Ledger,Michelle Williams,134 mins.,7.7
97,10,David Dobkin,Comedy | Romance,Owen Wilson,Vince Vaughn,Rachel McAdams,119 mins.,7
98,12,Judd Apatow,Comedy | Romance,Steve Carell,Catherine Keener,Paul Rudd,116 mins.,7.2
99,13,Joss Whedon,Action | Adventure | Sci-Fi | Thriller,Nathan Fillion,Gina Torres,Chiwetel Ejiofor,119 mins.,8
100,14,Rian Johnson,Crime | Drama | Mystery | Thriller,Joseph Gordon-Levitt,Lukas Haas,Emilie de Ravin,110 mins.,7.4
101,15,Julian Jarrold,Comedy | Drama | Music,Chiwetel Ejiofor,Joel Edgerton,Sarah-Jane Potts,107 mins.,7
102,24,Neil Marshall,Adventure | Horror,Shauna Macdonald,Natalie Mendoza,Alex Reid,99 mins.,7.2
103,25,James Mangold,Biography | Drama | Music | Romance,Joaquin Phoenix,Reese Witherspoon,Ginnifer Goodwin,136 mins.,7.9
104,30,Woody Allen,Drama | Romance | Thriller,Scarlett Johansson,Jonathan Rhys Meyers,Emily Mortimer,124 mins.,7.7
105,33,Lexi Alexander,Crime | Drama | Sport,Elijah Wood,Charlie Hunnam,Claire Forlani,109 mins.,7.5
106,34,Steven Spielberg,Drama | History | Thriller,Eric Bana,Daniel Craig,Marie-Josée Croze,164 mins.,7.6
107,35,Shane Black,Comedy | Crime | Mystery,Robert Downey Jr.,Val Kilmer,Michelle Monaghan,103 mins.,7.6
108,39,Ron Howard,Biography | Drama | Sport,Russell Crowe,Renée Zellweger,Craig Bierko,144 mins.,8
109,40,Lasse Hallström,Drama,Jennifer Lopez,Robert Redford,Morgan Freeman,108 mins.,7
110,45,Jim Jarmusch,Comedy | Drama | Mystery | Romance,Bill Murray,Jessica Lange,Sharon Stone,106 mins.,7.2
111,47,Tim Burton,Animation | Fantasy | Musical | Romance,Mike Johnson,Johnny Depp,Helena Bonham Carter,77 mins.,7.4
112,49,David Slade,Crime | Drama | Thriller,Patrick Wilson,Ellen Page,Sandra Oh,104 mins.,7.1
113,50,David Cronenberg,Crime | Drama | Thriller,Viggo Mortensen,Maria Bello,Ed Harris,96 mins.,7.5
114,2,Peter Jackson,Action | Adventure | Drama | Romance,Naomi Watts,Jack Black,Adrien Brody,187 mins.,7.3
115,3,James McTeigue,Action | Drama | Thriller,Hugo Weaving,Natalie Portman,Rupert Graves,132 mins.,8.2
116,4,Frank Miller,Crime | Thriller,Robert Rodriguez,Mickey Rourke,Clive Owen,124 mins.,8.1
117,7,Ridley Scott,Action | Adventure | Drama | History | War,Orlando Bloom,Eva Green,Liam Neeson,144 mins.,7.2
118,8,Ang Lee,Drama | Romance,Jake Gyllenhaal,Heath Ledger,Michelle Williams,134 mins.,7.7
119,9,David Dobkin,Comedy | Romance,Owen Wilson,Vince Vaughn,Rachel McAdams,119 mins.,7
120,11,Judd Apatow,Comedy | Romance,Steve Carell,Catherine Keener,Paul Rudd,116 mins.,7.2
121,12,Joss Whedon,Action | Adventure | Sci-Fi | Thriller,Nathan Fillion,Gina Torres,Chiwetel Ejiofor,119 mins.,8
122,13,Rian Johnson,Crime | Drama | Mystery | Thriller,Joseph Gordon-Levitt,Lukas Haas,Emilie de Ravin,110 mins.,7.4
123,14,Julian Jarrold,Comedy | Drama | Music,Chiwetel Ejiofor,Joel Edgerton,Sarah-Jane Potts,107 mins.,7
124,23,Neil Marshall,Adventure | Horror,Shauna Macdonald,Natalie Mendoza,Alex Reid,99 mins.,7.2
125,24,James Mangold,Biography | Drama | Music | Romance,Joaquin Phoenix,Reese Witherspoon,Ginnifer Goodwin,136 mins.,7.9
126,29,Woody Allen,Drama | Romance | Thriller,Scarlett Johansson,Jonathan Rhys Meyers,Emily Mortimer,124 mins.,7.7
127,32,Lexi Alexander,Crime | Drama | Sport,Elijah Wood,Charlie Hunnam,Claire Forlani,109 mins.,7.5
128,33,Steven Spielberg,Drama | History | Thriller,Eric Bana,Daniel Craig,Marie-Josée Croze,164 mins.,7.6
129,34,Shane Black,Comedy | Crime | Mystery,Robert Downey Jr.,Val Kilmer,Michelle Monaghan,103 mins.,7.6
130,38,Ron Howard,Biography | Drama | Sport,Russell Crowe,Renée Zellweger,Craig Bierko,144 mins.,8
131,39,Lasse Hallström,Drama,Jennifer Lopez,Robert Redford,Morgan Freeman,108 mins.,7
132,44,Jim Jarmusch,Comedy | Drama | Mystery | Romance,Bill Murray,Jessica Lange,Sharon Stone,106 mins.,7.2
133,46,Tim Burton,Animation | Fantasy | Musical | Romance,Mike Johnson,Johnny Depp,Helena Bonham Carter,77 mins.,7.4
134,48,David Slade,Crime | Drama | Thriller,Patrick Wilson,Ellen Page,Sandra Oh,104 mins.,7.1
135,49,David Cronenberg,Crime | Drama | Thriller,Viggo Mortensen,Maria Bello,Ed Harris,96 mins.,7.5
136,50,Rob Marshall,Drama | Romance,Ziyi Zhang,Ken Watanabe,Michelle Yeoh,145 mins.,7.3
137,1,Peter Jackson,Action | Adventure | Drama | Romance,Naomi Watts,Jack Black,Adrien Brody,187 mins.,7.3
138,2,James McTeigue,Action | Drama | Thriller,Hugo Weaving,Natalie Portman,Rupert Graves,132 mins.,8.2
139,3,Frank Miller,Crime | Thriller,Robert Rodriguez,Mickey Rourke,Clive Owen,124 mins.,8.1
140,6,Ridley Scott,Action | Adventure | Drama | History | War,Orlando Bloom,Eva Green,Liam Neeson,144 mins.,7.2
141,7,Ang Lee,Drama | Romance,Jake Gyllenhaal,Heath Ledger,Michelle Williams,134 mins.,7.7
142,8,David Dobkin,Comedy | Romance,Owen Wilson,Vince Vaughn,Rachel McAdams,119 mins.,7
143,10,Judd Apatow,Comedy | Romance,Steve Carell,Catherine Keener,Paul Rudd,116 mins.,7.2
144,11,Joss Whedon,Action | Adventure | Sci-Fi | Thriller,Nathan Fillion,Gina Torres,Chiwetel Ejiofor,119 mins.,8
145,12,Rian Johnson,Crime | Drama | Mystery | Thriller,Joseph Gordon-Levitt,Lukas Haas,Emilie de Ravin,110 mins.,7.4
146,13,Julian Jarrold,Comedy | Drama | Music,Chiwetel Ejiofor,Joel Edgerton,Sarah-Jane Potts,107 mins.,7
147,22,Neil Marshall,Adventure | Horror,Shauna Macdonald,Natalie Mendoza,Alex Reid,99 mins.,7.2
148,23,James Mangold,Biography | Drama | Music | Romance,Joaquin Phoenix,Reese Witherspoon,Ginnifer Goodwin,136 mins.,7.9
149,28,Woody Allen,Drama | Romance | Thriller,Scarlett Johansson,Jonathan Rhys Meyers,Emily Mortimer,124 mins.,7.7
150,31,Lexi Alexander,Crime | Drama | Sport,Elijah Wood,Charlie Hunnam,Claire Forlani,109 mins.,7.5
151,32,Steven Spielberg,Drama | History | Thriller,Eric Bana,Daniel Craig,Marie-Josée Croze,164 mins.,7.6
152,33,Shane Black,Comedy | Crime | Mystery,Robert Downey Jr.,Val Kilmer,Michelle Monaghan,103 mins.,7.6
153,37,Ron Howard,Biography | Drama | Sport,Russell Crowe,Renée Zellweger,Craig Bierko,144 mins.,8
154,38,Lasse Hallström,Drama,Jennifer Lopez,Robert Redford,Morgan Freeman,108 mins.,7
155,43,Jim Jarmusch,Comedy | Drama | Mystery | Romance,Bill Murray,Jessica Lange,Sharon Stone,106 mins.,7.2
156,45,Tim Burton,Animation | Fantasy | Musical | Romance,Mike Johnson,Johnny Depp,Helena Bonham Carter,77 mins.,7.4
157,47,David Slade,Crime | Drama | Thriller,Patrick Wilson,Ellen Page,Sandra Oh,104 mins.,7.1
158,48,David Cronenberg,Crime | Drama | Thriller,Viggo Mortensen,Maria Bello,Ed Harris,96 mins.,7.5
159,49,Rob Marshall,Drama | Romance,Ziyi Zhang,Ken Watanabe,Michelle Yeoh,145 mins.,7.3
160,1,James McTeigue,Action | Drama | Thriller,Hugo Weaving,Natalie Portman,Rupert Graves,132 mins.,8.2
161,2,Frank Miller,Crime | Thriller,Robert Rodriguez,Mickey Rourke,Clive Owen,124 mins.,8.1
162,5,Ridley Scott,Action | Adventure | Drama | History | War,Orlando Bloom,Eva Green,Liam Neeson,144 mins.,7.2
163,6,Ang Lee,Drama | Romance,Jake Gyllenhaal,Heath Ledger,Michelle Williams,134 mins.,7.7
164,7,David Dobkin,Comedy | Romance,Owen Wilson,Vince Vaughn,Rachel McAdams,119 mins.,7
165,9,Judd Apatow,Comedy | Romance,Steve Carell,Catherine Keener,Paul Rudd,116 mins.,7.2
166,10,Joss Whedon,Action | Adventure | Sci-Fi | Thriller,Nathan Fillion,Gina Torres,Chiwetel Ejiofor,119 mins.,8
167,11,Rian Johnson,Crime | Drama | Mystery | Thriller,Joseph Gordon-Levitt,Lukas Haas,Emilie de Ravin,110 mins.,7.4
168,12,Julian Jarrold,Comedy | Drama | Music,Chiwetel Ejiofor,Joel Edgerton,Sarah-Jane Potts,107 mins.,7
169,21,Neil Marshall,Adventure | Horror,Shauna Macdonald,Natalie Mendoza,Alex Reid,99 mins.,7.2
170,22,James Mangold,Biography | Drama | Music | Romance,Joaquin Phoenix,Reese Witherspoon,Ginnifer Goodwin,136 mins.,7.9
171,27,Woody Allen,Drama | Romance | Thriller,Scarlett Johansson,Jonathan Rhys Meyers,Emily Mortimer,124 mins.,7.7
172,30,Lexi Alexander,Crime | Drama | Sport,Elijah Wood,Charlie Hunnam,Claire Forlani,109 mins.,7.5
173,31,Steven Spielberg,Drama | History | Thriller,Eric Bana,Daniel Craig,Marie-Josée Croze,164 mins.,7.6
174,32,Shane Black,Comedy | Crime | Mystery,Robert Downey Jr.,Val Kilmer,Michelle Monaghan,103 mins.,7.6
175,36,Ron Howard,Biography | Drama | Sport,Russell Crowe,Renée Zellweger,Craig Bierko,144 mins.,8
176,37,Lasse Hallström,Drama,Jennifer Lopez,Robert Redford,Morgan Freeman,108 mins.,7
177,42,Jim Jarmusch,Comedy | Drama | Mystery | Romance,Bill Murray,Jessica Lange,Sharon Stone,106 mins.,7.2
178,44,Tim Burton,Animation | Fantasy | Musical | Romance,Mike Johnson,Johnny Depp,Helena Bonham Carter,77 mins.,7.4
179,46,David Slade,Crime | Drama | Thriller,Patrick Wilson,Ellen Page,Sandra Oh,104 mins.,7.1
180,47,David Cronenberg,Crime | Drama | Thriller,Viggo Mortensen,Maria Bello,Ed Harris,96 mins.,7.5
181,48,Rob Marshall,Drama | Romance,Ziyi Zhang,Ken Watanabe,Michelle Yeoh,145 mins.,7.3
182,50,Thomas Carter,Drama | Sport,Samuel L. Jackson,Rick Gonzalez,Robert Ri'chard,136 mins.,7.2
183,1,Frank Miller,Crime | Thriller,Robert Rodriguez,Mickey Rourke,Clive Owen,124 mins.,8.1
184,4,Ridley Scott,Action | Adventure | Drama | History | War,Orlando Bloom,Eva Green,Liam Neeson,144 mins.,7.2
185,5,Ang Lee,Drama | Romance,Jake Gyllenhaal,Heath Ledger,Michelle Williams,134 mins.,7.7
186,6,David Dobkin,Comedy | Romance,Owen Wilson,Vince Vaughn,Rachel McAdams,119 mins.,7
187,8,Judd Apatow,Comedy | Romance,Steve Carell,Catherine Keener,Paul Rudd,116 mins.,7.2
188,9,Joss Whedon,Action | Adventure | Sci-Fi | Thriller,Nathan Fillion,Gina Torres,Chiwetel Ejiofor,119 mins.,8
189,10,Rian Johnson,Crime | Drama | Mystery | Thriller,Joseph Gordon-Levitt,Lukas Haas,Emilie de Ravin,110 mins.,7.4
190,11,Julian Jarrold,Comedy | Drama | Music,Chiwetel Ejiofor,Joel Edgerton,Sarah-Jane Potts,107 mins.,7
191,20,Neil Marshall,Adventure | Horror,Shauna Macdonald,Natalie Mendoza,Alex Reid,99 mins.,7.2
192,21,James Mangold,Biography | Drama | Music | Romance,Joaquin Phoenix,Reese Witherspoon,Ginnifer Goodwin,136 mins.,7.9
193,26,Woody Allen,Drama | Romance | Thriller,Scarlett Johansson,Jonathan Rhys Meyers,Emily Mortimer,124 mins.,7.7
194,29,Lexi Alexander,Crime | Drama | Sport,Elijah Wood,Charlie Hunnam,Claire Forlani,109 mins.,7.5
195,30,Steven Spielberg,Drama | History | Thriller,Eric Bana,Daniel Craig,Marie-Josée Croze,164 mins.,7.6
196,31,Shane Black,Comedy | Crime | Mystery,Robert Downey Jr.,Val Kilmer,Michelle Monaghan,103 mins.,7.6
197,35,Ron Howard,Biography | Drama | Sport,Russell Crowe,Renée Zellweger,Craig Bierko,144 mins.,8
198,36,Lasse Hallström,Drama,Jennifer Lopez,Robert Redford,Morgan Freeman,108 mins.,7
199,41,Jim Jarmusch,Comedy | Drama | Mystery | Romance,Bill Murray,Jessica Lange,Sharon Stone,106 mins.,7.2
200,43,Tim Burton,Animation | Fantasy | Musical | Romance,Mike Johnson,Johnny Depp,Helena Bonham Carter,77 mins.,7.4
201,45,David Slade,Crime | Drama | Thriller,Patrick Wilson,Ellen Page,Sandra Oh,104 mins.,7.1
202,46,David Cronenberg,Crime | Drama | Thriller,Viggo Mortensen,Maria Bello,Ed Harris,96 mins.,7.5
203,47,Rob Marshall,Drama | Romance,Ziyi Zhang,Ken Watanabe,Michelle Yeoh,145 mins.,7.3
204,49,Thomas Carter,Drama | Sport,Samuel L. Jackson,Rick Gonzalez,Robert Ri'chard,136 mins.,7.2
205,50,Andrew Niccol,Crime | Drama | Thriller,Nicolas Cage,Ethan Hawke,Jared Leto,122 mins.,7.6
206,3,Ridley Scott,Action | Adventure | Drama | History | War,Orlando Bloom,Eva Green,Liam Neeson,144 mins.,7.2
207,4,Ang Lee,Drama | Romance,Jake Gyllenhaal,Heath Ledger,Michelle Williams,134 mins.,7.7
208,5,David Dobkin,Comedy | Romance,Owen Wilson,Vince Vaughn,Rachel McAdams,119 mins.,7
209,7,Judd Apatow,Comedy | Romance,Steve Carell,Catherine Keener,Paul Rudd,116 mins.,7.2
210,8,Joss Whedon,Action | Adventure | Sci-Fi | Thriller,Nathan Fillion,Gina Torres,Chiwetel Ejiofor,119 mins.,8
211,9,Rian Johnson,Crime | Drama | Mystery | Thriller,Joseph Gordon-Levitt,Lukas Haas,Emilie de Ravin,110 mins.,7.4
212,10,Julian Jarrold,Comedy | Drama | Music,Chiwetel Ejiofor,Joel Edgerton,Sarah-Jane Potts,107 mins.,7
213,19,Neil Marshall,Adventure | Horror,Shauna Macdonald,Natalie Mendoza,Alex Reid,99 mins.,7.2
214,20,James Mangold,Biography | Drama | Music | Romance,Joaquin Phoenix,Reese Witherspoon,Ginnifer Goodwin,136 mins.,7.9
215,25,Woody Allen,Drama | Romance | Thriller,Scarlett Johansson,Jonathan Rhys Meyers,Emily Mortimer,124 mins.,7.7
216,28,Lexi Alexander,Crime | Drama | Sport,Elijah Wood,Charlie Hunnam,Claire Forlani,109 mins.,7.5
217,29,Steven Spielberg,Drama | History | Thriller,Eric Bana,Daniel Craig,Marie-Josée Croze,164 mins.,7.6
218,30,Shane Black,Comedy | Crime | Mystery,Robert Downey Jr.,Val Kilmer,Michelle Monaghan,103 mins.,7.6
219,34,Ron Howard,Biography | Drama | Sport,Russell Crowe,Renée Zellweger,Craig Bierko,144 mins.,8
220,35,Lasse Hallström,Drama,Jennifer Lopez,Robert Redford,Morgan Freeman,108 mins.,7
221,40,Jim Jarmusch,Comedy | Drama | Mystery | Romance,Bill Murray,Jessica Lange,Sharon Stone,106 mins.,7.2
222,42,Tim Burton,Animation | Fantasy | Musical | Romance,Mike Johnson,Johnny Depp,Helena Bonham Carter,77 mins.,7.4
223,44,David Slade,Crime | Drama | Thriller,Patrick Wilson,Ellen Page,Sandra Oh,104 mins.,7.1
224,45,David Cronenberg,Crime | Drama | Thriller,Viggo Mortensen,Maria Bello,Ed Harris,96 mins.,7.5
225,46,Rob Marshall,Drama | Romance,Ziyi Zhang,Ken Watanabe,Michelle Yeoh,145 mins.,7.3
226,48,Thomas Carter,Drama | Sport,Samuel L. Jackson,Rick Gonzalez,Robert Ri'chard,136 mins.,7.2
227,49,Andrew Niccol,Crime | Drama | Thriller,Nicolas Cage,Ethan Hawke,Jared Leto,122 mins.,7.6
228,2,Ridley Scott,Action | Adventure | Drama | History | War,Orlando Bloom,Eva Green,Liam Neeson,144 mins.,7.2
229,3,Ang Lee,Drama | Romance,Jake Gyllenhaal,Heath Ledger,Michelle Williams,134 mins.,7.7
